categorylabel,table,percent
none,5260,0.07756396077563961
category 0,17266,0.25460443854604436
category 1,17565,0.25901349259013495
category 2,13347,0.19681486396814865
category 3,8989,0.13255179532551795
category 4,5388,0.07945144879451449
